Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Token,50,499,518,791,843,888,111,888,0.000%,28.23264,9.56,6.09
Config,50,926,886,1288,1290,1475,254,1475,0.000%,18.07664,98.22,13.38
Psp List,50,616,645,800,833,969,317,969,0.000%,15.73812,25.66,11.60
Check Status,50,258,159,272,311,4143,105,4143,0.000%,9.18442,4.09,8.16
Events New,50,234,205,379,417,583,122,583,0.000%,9.38086,3.04,8.18
Initiate Order,50,53908,53799,55290,56173,58111,49991,58111,0.000%,.85336,0.42,1.10
Create Order,50,327,317,509,534,621,118,621,0.000%,11.37398,3.75,16.33
Finalize Order,50,262,271,346,351,537,99,537,0.000%,10.42318,3.56,12.41
Failed Order,50,461,406,532,535,4224,138,4224,0.000%,10.14199,3.29,14.56
TOTAL,450,6388,383,52572,54049,56155,99,58111,0.000%,7.35943,7.90,7.20
